month,days,capacity_nights,occ_rate,occupied_nights,adr,gross_room_rev,commissions,net_room_rev,city_tax_collected,stays_turns,var_cleaning,fixed_opex,maint_reserve,total_opex,ebitda,ebit_after_capex_amort,scenario
2026-01-01,31,620,0.2945454545454546,182.61818181818185,74.85156225494737,13669.256205248936,1812.5433728160092,11856.712832432926,1205.2800000000002,86.96103896103898,3913.246753246754,15500.0,237.13425664865852,19650.381009895413,-7793.668177462487,-10093.668177462487,Prudente
2026-02-01,28,560,0.2847272727272728,159.44727272727275,74.0941451940751,11814.109376253837,1566.550903291259,10247.558472962577,1052.352,79.72363636363637,3587.5636363636368,15500.0,204.95116945925156,19292.514805822888,-9044.95633286031,-11344.95633286031,Prudente
2026-03-01,31,620,0.3681818181818183,228.27272727272734,80.03388022638416,18269.552113495516,2422.5426102495057,15847.00950324601,1506.6000000000004,103.76033057851242,4669.214876033059,15500.0,316.9401900649202,20486.15506609798,-4639.145562851971,-6939.145562851971,Prudente
2026-04-01,30,600,0.5154545454545456,309.27272727272737,88.53444796650548,27381.290180186523,3630.759077892734,23750.53110229379,2041.2000000000007,123.70909090909095,5566.909090909093,15500.0,475.0106220458758,21541.91971295497,2208.611389338821,-91.38861066117897,Prudente
2026-05-01,31,620,0.5890909090909092,365.2363636363637,92.15308270031764,33657.65682334511,4463.005294775562,29194.65152856955,2410.5600000000004,130.44155844155847,5869.870129870131,15500.0,583.893030571391,21953.763160441522,7240.888368128028,4940.888368128028,Prudente
2026-06-01,30,600,0.6136363636363638,368.18181818181824,93.28858330961913,34347.16021854159,4554.433444978616,29792.726773562976,2430.000000000001,122.72727272727275,5522.727272727274,15500.0,595.8545354712595,21618.58180819853,8174.144965364445,5874.144965364445,Prudente
2026-07-01,31,620,0.6381818181818183,395.67272727272734,94.39271975399946,37348.62485975521,4952.427656403542,32396.19720335167,2611.4400000000005,123.6477272727273,5564.147727272728,15500.0,647.9239440670334,21712.07167133976,10684.125532011909,8384.125532011909,Prudente
2026-08-01,31,620,0.5645454545454546,350.01818181818186,90.9839622796436,31846.041051734897,4222.785043460048,27623.25600827485,2310.120000000001,116.67272727272729,5250.272727272728,15500.0,552.465120165497,21302.737847438224,6320.518160836626,4020.5181608366256,Prudente
2026-09-01,30,600,0.46636363636363637,279.8181818181818,85.91570844703367,24040.777327269967,3187.807073595998,20852.970253673968,1846.8000000000002,107.62237762237761,4843.006993006992,15500.0,417.05940507347935,20760.06639808047,92.9038555934967,-2207.0961444065033,Prudente
2026-10-01,31,620,0.4172727272727273,258.70909090909095,83.09620149245238,21497.742746111002,2850.600688134319,18647.142057976682,1707.4800000000002,107.79545454545456,4850.795454545455,15500.0,372.94284115953366,20723.73829570499,-2076.5962377283067,-4376.596237728307,Prudente
2026-11-01,30,600,0.3436363636363637,206.18181818181822,78.39437571120745,16163.49491936532,2143.2794263078417,14020.215493057478,1360.8000000000004,93.71900826446281,4217.355371900827,15500.0,280.40430986114956,19997.759681761978,-5977.5441887045,-8277.5441887045,Prudente
2026-12-01,31,620,0.30436363636363645,188.7054545454546,75.5915065237291,14264.529598335994,1891.4766247393532,12373.052973596641,1245.4560000000004,89.85974025974028,4043.6883116883123,15500.0,247.46105947193283,19791.149371160245,-7418.096397563604,-9718.096397563604,Prudente
2027-01-01,31,620,0.2945454545454546,182.61818181818185,74.85156225494737,13669.256205248936,1812.5433728160092,11856.712832432926,1205.2800000000002,86.96103896103898,3913.246753246754,15500.0,237.13425664865852,19650.381009895413,-7793.668177462487,-10093.668177462487,Prudente
2027-02-01,28,560,0.2847272727272728,159.44727272727275,74.0941451940751,11814.109376253837,1566.550903291259,10247.558472962577,1052.352,79.72363636363637,3587.5636363636368,15500.0,204.95116945925156,19292.514805822888,-9044.95633286031,-11344.95633286031,Prudente
2027-03-01,31,620,0.3681818181818183,228.27272727272734,80.03388022638416,18269.552113495516,2422.5426102495057,15847.00950324601,1506.6000000000004,103.76033057851242,4669.214876033059,15500.0,316.9401900649202,20486.15506609798,-4639.145562851971,-6939.145562851971,Prudente
